id,feature_key,display_name,category,feature_type,description,rollout_status,created_at,updated_at,archived_at,is_toggleable,is_removable,lock_reason,is_system_feature
78fdbff2-87d2-40c0-a8b5-7c741d144f82,nearbyamenities,Nearbyamenities,Support Tools,module,Service Module: nearbyAmenitiesService.ts,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
7a125a77-e823-4056-ae39-93fa1110382f,admin_fees_status,Admin Fees Status,Payments,module,Database table: admin_fees_status,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
7a4ce992-3f8e-4bea-a7ae-d77817f4f789,uniform_submission_items,Uniform Submission Items,Uniforms & Gear,module,Database table: uniform_submission_items,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
7aee2775-6007-49f4-b722-af4b83f479f1,family,Family,Support Tools,module,Service Module: familyService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
7f57bfbc-96fa-4a1b-9ccc-44cf2bcdb378,offline_payments,Offline Payments,Payments,module,Database table: offline_payments,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
83b8e90d-21f0-4489-9754-2fae8ae390bd,tryout_registrations,Tryout Registrations,Support Tools,module,Database table: tryout_registrations,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
83f59ca8-bbcd-4823-b26b-8b75ac3a9b53,venue_nearby_amenities_summaries,Venue Nearby Amenities Summaries,Support Tools,module,Database table: venue_nearby_amenities_summaries,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
85fef4e2-0f2f-476f-b353-9bc1c0c458e0,feature_flag_audit_log,Feature Flag Audit Log,Support Tools,module,Database table: feature_flag_audit_log,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
875e27d0-9b9d-4c2c-81ab-08ab1c2a5888,admin_payments,Admin Payments,Payments,module,Database table: admin_payments,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
8804e367-965c-42a1-9b80-366aff58cdb3,audit,Audit & History,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
8e4976fc-217d-4e39-a969-605a7063d083,event_attendance,Event Attendance,Scheduling & Calendar,module,Database table: event_attendance,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
8f5ecda5-0c37-448e-b533-f24da7f8864c,tier_feature_assignments,Tier Feature Assignments,Support Tools,module,Database table: tier_feature_assignments,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
91cb4606-1a1f-4499-9530-aa5509e82a16,attendance,Attendance,Support Tools,module,Service Module: attendanceService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
91dd2717-496d-42b5-a4b6-522d81d7215f,queryhelpers,Queryhelpers,Support Tools,module,Service Module: queryHelpers.ts,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
921c14ff-d05f-4976-b39c-6da2497e7b21,admins,Platform Admins,Support Tools,module,Admin management,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
933b1a64-c6b2-4699-b953-45712c51f200,child_claim_tokens,Child Claim Tokens,Support Tools,module,Database table: child_claim_tokens,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9505612a-cd1c-49d5-8699-db323578d6ab,onboarding,Onboarding,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9662f6d8-5448-4791-a911-dfd45a156673,stream_channel_metadata,Stream Channel Metadata,Support Tools,module,Database table: stream_channel_metadata,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
