Feature Key,Name,Category,Type,Description
saved_reports,Saved Reports,Support Tools,module,Database table: saved_reports
scholarship_awards,Scholarship Awards,Support Tools,module,Database table: scholarship_awards
scholarship_programs,Scholarship Programs,Support Tools,module,Database table: scholarship_programs
search,Search,Support Tools,module,Search galleries
seasondetail,Season Details,Support Tools,module,
seasons,Seasons,Support Tools,module,Service Module: seasonsService.ts
seat_assignments,Seat Assignments,Support Tools,module,Database table: seat_assignments
seat_holds,Seat Holds,Support Tools,module,Database table: seat_holds
builder,Seat Map Builder,Support Tools,module,
seat_map_sections,Seat Map Sections,Support Tools,module,Database table: seat_map_sections
seat_map_snapshots,Seat Map Snapshots,Support Tools,module,Database table: seat_map_snapshots
seat_maps,Seat Maps,Support Tools,module,Database table: seat_maps
sections,Sections,Support Tools,module,Configure display sections
sportdetail,Sport Details,Support Tools,module,
sport_field_definitions,Sport Field Definitions,Support Tools,module,Database table: sport_field_definitions
sportfielddefinitions,Sportfielddefinitions,Support Tools,module,Service Module: sportFieldDefinitionsService.ts
sports,Sports,Support Tools,module,Service Module: sportsService.ts
sportsprograms,Sports & Programs,Support Tools,module,
storage,Storage Management,Support Tools,module,Quotas and retention
stream_channel_metadata,Stream Channel Metadata,Support Tools,module,Database table: stream_channel_metadata
stream_channels,Stream Channels,Support Tools,module,Database table: stream_channels
stripe_connect_transactions,Stripe Connect Transactions,Support Tools,module,Database table: stripe_connect_transactions
stripe_webhook_receipts,Stripe Webhook Receipts,Support Tools,module,Database table: stripe_webhook_receipts
structure,Structure,Support Tools,module,Data model
sub_org_requests,Sub Org Requests,Support Tools,module,Database table: sub_org_requests
sub_org_settings,Sub Org Settings,Support Tools,module,Database table: sub_org_settings
suborgs,Sub-Organizations,Support Tools,module,Manage sub-organizations
suborg,Suborg,Support Tools,module,Service Module: subOrgService.ts
tagging,Tagging,Support Tools,module,Service Module: taggingService.ts
ticketingscannerevent,Ticket Scanner (Event),Support Tools,module,
